region,zone,woreda,ADM3_PCODE
Amhara,South Wello,Delanta,ET030406
Amhara,South Wello,Kalu,ET030407
Amhara,South Wello,Albuko,ET030408
Amhara,South Wello,Dessie Zuria,ET030409
Amhara,South Wello,Legambo,ET030410
Amhara,South Wello,Sayint,ET030411
Amhara,South Wello,Borena /Debresina,ET030412
Amhara,South Wello,Kelela,ET030413
Amhara,South Wello,Jama,ET030414
Amhara,South Wello,Were Ilu,ET030415
Amhara,South Wello,Wegde,ET030416
Amhara,South Wello,Kombolcha town,ET030417
Amhara,South Wello,Dessie town,ET030418
Amhara,South Wello,Mehal Sayint,ET030419
Amhara,South Wello,Legehida,ET030420
Amhara,South Wello,Mekdela,ET030421
Amhara,South Wello,Worebabu,ET030422
Amhara,South Wello,Wereilu town,ET030423
Amhara,South Wello,Wegel tena town,ET030424
Amhara,South Wello,Degolo town,ET030425
Amhara,South Wello,Kelala town,ET030426
Amhara,South Wello,Akeseta town,ET030427
Amhara,South Wello,Tulu Awlia,ET030428
Amhara,South Wello,Harbu town,ET030429
Amhara,South Wello,Mekane Selame,ET030498
Amhara,South Wello,Hike town,ET030499
Amhara,North Shewa (AM),Mida Woremo,ET030501
Amhara,North Shewa (AM),Merhabete,ET030502
Amhara,North Shewa (AM),Ensaro,ET030503
Amhara,North Shewa (AM),Moretna Jiru,ET030504
Amhara,North Shewa (AM),Menze Gera Midir,ET030505
Amhara,North Shewa (AM),Gishe Rabel,ET030506
Amhara,North Shewa (AM),Antsokiya,ET030507
Amhara,North Shewa (AM),Eferatana Gidem,ET030508
Amhara,North Shewa (AM),Menze Mama Midir,ET030509
Amhara,North Shewa (AM),Tarema Ber,ET030510
Amhara,North Shewa (AM),Mojan Wedera,ET030511
Amhara,North Shewa (AM),Kewet,ET030512
Amhara,North Shewa (AM),Angolelana Tera,ET030513
Amhara,North Shewa (AM),Assagirt,ET030514
Amhara,North Shewa (AM),Ankober,ET030515
Amhara,North Shewa (AM),Hagere Mariam,ET030516
Amhara,North Shewa (AM),Berehet,ET030517
Amhara,North Shewa (AM),Minjar Shenkora,ET030518
Amhara,North Shewa (AM),Basona Worena,ET030519
Amhara,North Shewa (AM),Debre Berhan town,ET030520
Amhara,North Shewa (AM),Menze Keya Gabriel,ET030521
Amhara,North Shewa (AM),Menze Lalo Midir,ET030522
Amhara,North Shewa (AM),Siya Debirna Wayu,ET030523
Amhara,North Shewa (AM),Tulefa town,ET030524
Amhara,North Shewa (AM),Arerti town,ET030525
Amhara,North Shewa (AM),Molale town,ET030526
Amhara,North Shewa (AM),Debre Sina town,ET030527
Amhara,North Shewa (AM),Shoa Robit,ET030595
Amhara,North Shewa (AM),Mehale Meda town,ET030597
Amhara,North Shewa (AM),Ataye town,ET030598
Amhara,North Shewa (AM),Aleme Ketma town,ET030599
Amhara,East Gojam,Bibugn,ET030601
Amhara,East Gojam,Hulet Ej Enese,ET030602
Amhara,East Gojam,Goncha Siso Enebse,ET030603
Amhara,East Gojam,Enebse Sarmder,ET030604
Amhara,East Gojam,Enarj Enawga,ET030605
