region,zone,woreda,adm3_pcode,adm3_en,adm1_en,adm2_en,score,method,needs_review
Afar,Gabi Rasu,Hanruka,ET020307,Hanruka,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Hari /Zone 5,Dalifage,ET020504,Dalefage,Afar,Hari /Zone 5,1,key,FALSE
Afar,Hari /Zone 5,Dewe,ET020503,Dawe,Afar,Hari /Zone 5,1,key,FALSE
Afar,Hari /Zone 5,Hadeleala,ET020505,Hadelela,Afar,Hari /Zone 5,1,key,FALSE
Afar,Hari /Zone 5,Samarobi,ET020502,Samurobi,Afar,Hari /Zone 5,1,key,FALSE
Afar,Hari /Zone 5,Telalak,ET020501,Telalek,Afar,Hari /Zone 5,1,key,FALSE
Afar,Hari /Zone 6,Gereni Woreda,ET020110,Gerani,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Hari Rasu,Dalifage,ET020504,Dalefage,Afar,Hari /Zone 5,1,key,FALSE
Afar,Hari Rasu,Dewe,ET020503,Dawe,Afar,Hari /Zone 5,1,key,FALSE
Afar,Hari Rasu,Hadeleala,ET020505,Hadelela,Afar,Hari /Zone 5,1,key,FALSE
Afar,Hari Rasu,Samarobi,ET020502,Samurobi,Afar,Hari /Zone 5,1,key,FALSE
Afar,Hari Rasu,Telalak,ET020501,Telalek,Afar,Hari /Zone 5,1,key,FALSE
Afar,Kilbati /Zone2,Abala Town,ET020209,Abaala town,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati /Zone2,Abala Woreda,ET020203,Abaala,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati /Zone2,Afdera,ET020207,Afdera,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati /Zone2,Berehale,ET020205,Berahile,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati /Zone2,Biidu,ET020208,Bidu,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati /Zone2,Dalol,ET020206,Dalol,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati /Zone2,Erebti,ET020201,Erebti,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati /Zone2,Konaba,ET020202,Kunneba,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati /Zone2,Megalle,ET020204,Megale,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati Rasu,Abala Town,ET020209,Abaala town,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati Rasu,Abala Woreda,ET020203,Abaala,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati Rasu,Afdera,ET020207,Afdera,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati Rasu,Berehale,ET020205,Berahile,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati Rasu,Biidu,ET020208,Bidu,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati Rasu,Dalol,ET020206,Dalol,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati Rasu,Erebti,ET020201,Erebti,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati Rasu,Konaba,ET020202,Kunneba,Afar,Kilbati /Zone2,1,key,FALSE
Afar,Kilbati Rasu,Megalle,ET020204,Megale,Afar,Kilbati /Zone2,1,key,FALSE
Amhara,Awi,Agew_Midir General Hospital,ET030903,Ankasha,Amhara,Awi,1,key,FALSE
Amhara,Awi,Ankasha Guagusa,ET030903,Ankasha,Amhara,Awi,1,key,FALSE
Amhara,Awi,Ayehu Guagusa,ET030908,Ayehu Guwagusa,Amhara,Awi,1,key,FALSE
Amhara,Awi,Banja,ET030902,Banja,Amhara,Awi,1,key,FALSE
Amhara,Awi,Chagni,ET030999,Chagni town,Amhara,Awi,1,key,FALSE
Amhara,Awi,Dangila Town,ET030998,Dangila town,Amhara,Awi,1,key,FALSE
Amhara,Awi,Dangila Zuria,ET030901,Dangila,Amhara,Awi,1,key,FALSE
Amhara,Awi,Fagita Lokoma,ET030905,Fagta Lakoma,Amhara,Awi,1,key,FALSE
Amhara,Awi,Guagusa Shekudad,ET030907,Guagusa Shikudad,Amhara,Awi,1,key,FALSE
Amhara,Awi,Guangua,ET030904,Guangua,Amhara,Awi,1,key,FALSE
Amhara,Awi,Injibara General Hospital,ET030996,Injibara town,Amhara,Awi,1,key,FALSE
Amhara,Awi,Injibara Town,ET030996,Injibara town,Amhara,Awi,1,key,FALSE
Amhara,Awi,Jawi,ET030906,Jawi,Amhara,Awi,1,key,FALSE
Amhara,Awi,Zigem,ET030997,Zigem,Amhara,Awi,1,key,FALSE
Amhara,Bahir Dar City,Adinas General Hospital,ET030712,Bahir Dar town,Amhara,West Gojam,1,key,FALSE
Amhara,Bahir Dar City,Afilas General Hospital,ET030712,Bahir Dar town,Amhara,West Gojam,1,key,FALSE
Amhara,Bahir Dar City,Bahir Dar Town,ET030712,Bahir Dar town,Amhara,West Gojam,1,key,FALSE
Amhara,Bahir Dar City,Dream Care General Hospital,ET030712,Bahir Dar town,Amhara,West Gojam,1,key,FALSE
Amhara,Bahir Dar City,Felege Hiwot Specialized Hospital,ET030712,Bahir Dar town,Amhara,West Gojam,1,key,FALSE
Amhara,Bahir Dar City,Gamby General Hospital,ET030712,Bahir Dar town,Amhara,West Gojam,1,key,FALSE
Amhara,Bahir Dar City,Tibebe Ghion Specialized Hospital,ET030712,Bahir Dar town,Amhara,West Gojam,1,key,FALSE
Amhara,Central Gondar,Alefa,ET031115,Alefa,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,Central Armachiho,ET031119,Masero Denb /Central Armacho,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,Chilga,ET031106,Chilga 1,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,Chilga 1,ET031106,Chilga 1,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,Chilga 2,ET031112,Chilga 2,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,East Belesa,ET031117,East Belesa,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,East Dembia,ET031111,East Dembia,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,Gondar Zuria,ET031110,Gonder Zuria,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,Kinfaz Begela,ET031122,Kinfaz Begela,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,Lay Armachiho,ET031108,Lay Armacho,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,Nebaru Chilga,ET031106,Chilga 1,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,Tach Armachiho,ET031120,Tach Armacho,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,Takusa,ET031121,Takusa,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,Tegede,ET031107,Tegede,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,West Belesa,ET031116,West Belesa,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,West Dembia,ET031125,West Dembiya,Amhara,Central Gondar,1,key,FALSE
Amhara,Central Gondar,Wogera,ET031109,Wegera,Amhara,Central Gondar,1,key,FALSE
Amhara,Debre Birhan City,Ayu General Hospital,ET030520,Debre Berhan town,Amhara,North Shewa (AM),1,key,FALSE
Amhara,Debre Birhan City,Debre Birhan Specialized Hospital,ET030520,Debre Berhan town,Amhara,North Shewa (AM),1,key,FALSE
Amhara,Debre Birhan City,Debre Birhan Town,ET030520,Debre Berhan town,Amhara,North Shewa (AM),1,key,FALSE
Amhara,Debre Birhan City,Hakim Gizaw General Hospital,ET030520,Debre Berhan town,Amhara,North Shewa (AM),1,key,FALSE
Amhara,Debre Markos City,Debre Markos Specialized Hospital,ET030615,Debre Markos town,Amhara,East Gojam,1,key,FALSE
Amhara,Debre Markos City,Debre Markos Town,ET030615,Debre Markos town,Amhara,East Gojam,1,key,FALSE
