adm3_pcode,adm3_en,ref_region,population_best
ET041703,Arsi Negele,Oromia,154053.8085867682
ET041704,Kofele,Oromia,262459.9052911355
ET041705,Kore,Oromia,158508.20903637694
ET041706,Gedeb Asasa,Oromia,288309.3311895852
ET041707,Dodola,Oromia,252954.33237489965
ET041708,Kokosa,Oromia,219812.0957523486
ET041709,Nenesebo,Oromia,175077.72312180026
ET041710,Adaba,Oromia,213173.80917594492
ET041711,Shashemene town,Oromia,177075.24874466527
ET041712,Shashemene Zuria,Oromia,300789.13883579994
ET041783,Heban Arsi,Oromia,83431.50863731733
ET041797,Wondo,Oromia,130687.72430752414
ET041799,Arsi Negele town,Oromia,154053.8085867682
ET041801,Hawa Galan,Oromia,148536.3411391016
ET041802,Yama Logi Welel,Oromia,62355.18939111343
ET041803,Dale Wabera,Oromia,49927.95681966534
ET041804,Gawo Kebe,Oromia,94529.54308283709
ET041805,Sayo,Oromia,175864.8632732797
ET041806,Denbi Dollo town,Oromia,53402.53965193583
ET041807,Anfilo,Oromia,118987.57042547864
ET041808,Dale Sadi,Oromia,115844.06
ET041809,Gidami,Oromia,131636.35652812506
ET041810,Jimma Horo,Oromia,70196.64535666714
ET041811,Lalo Kile,Oromia,74713.07587256093
ET041812,Sedi Chenka,Oromia,69327.15494477472
ET041901,Horo,Oromia,52453.90743133489
ET041902,Shambu town,Oromia,26432.294624749044
ET041903,Guduru,Oromia,98395.72738663915
ET041904,Ababo,Oromia,69259.77745898232
ET041905,Abay Chomen,Oromia,75544.06486400055
ET041906,Jimma Genete,Oromia,98932.60830517541
ET041907,Jimma Rare,Oromia,86350.13020441991
ET041908,Jarte Jardega,Oromia,75334.44601931307
ET041909,Amuru,Oromia,82703.19010041852
ET041910,Abe Dongoro,Oromia,102164.58865540773
ET041911,Choman Guduru,Oromia,51827.18986507541
ET041912,Horo Buluk,Oromia,62074.98460892915
ET042001,Burayu,Oromia,112909.762897345
ET042004,Lege Tafo-Lege Dadi town,Oromia,22430
ET042005,Sululta town,Oromia,27524.237688146528
ET042006,Sebeta Hawas,Oromia,150196.76366913723
ET042009,Sebeta town,Oromia,176110.84457061705
ET042011,Bereh,Oromia,106148.83054927723
ET042012,Akaki,Oromia,93904.96448438054
ET042013,Sululta,Oromia,187910.5299394
ET042014,Welmera,Oromia,127835.4107423125
ET042016,Mulo,Oromia,53807.8740505917
ET042018,Sendafa town,Oromia,22578.4687126898
ET042020,Holeta town,Oromia,46666.28684634455
ET042098,Gelana (Finfine),Oromia,15497
ET042102,Lege Hida,Oromia,95231.12452219923
ET042103,Ginir,Oromia,116041.14227693793
ET042104,Rayitu,Oromia,51049.67506870914
