period,region,indicator,label,value_pct,pct_reported
2025-Wk16-27,Benishangul Gumuz,RESP_2448,Confirmed outbreaks with response within 24-48 hours,100,100
2025-Wk16-27,Benishangul Gumuz,EPI_DETECT_REG,Epidemics detected at regional level from district data,0,100
2025-Wk16-27,Benishangul Gumuz,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,69.56521739130434,100
2025-Wk16-27,Benishangul Gumuz,RISK_MAP,Districts conducting risk & resource mapping,69.56521739130434,100
2025-Wk16-27,Benishangul Gumuz,EPR_FUNDS,Districts with EPR funds / budget line,0,100
2025-Wk16-27,Benishangul Gumuz,CONTINGENCY,Districts with contingency stocks (3-6 months),0,100
2025-Wk16-27,Benishangul Gumuz,PHEM_OFFICER,Health facilities with PHEM officer,0,100
2025-Wk16-27,Benishangul Gumuz,DHIS2_RPT,Districts reporting weekly via DHIS2,73.91304347826087,100
2025-Wk16-27,Benishangul Gumuz,COORD_PLATFORM,Districts with functional coordination platform / RRT,78.26086956521739,100
2025-Wk28-52,Benishangul Gumuz,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),100,100
2025-Wk28-52,Benishangul Gumuz,EBS_DETECT,Outbreaks detected through event-based surveillance,100,100
2025-Wk28-52,Benishangul Gumuz,DETECT_7D,Outbreaks detected within 7 days,100,100
2025-Wk28-52,Benishangul Gumuz,RPT_TIMELY,Surveillance reports submitted on time (timeliness),93.21739130434784,100
2025-Wk28-52,Benishangul Gumuz,RPT_COMPLETE,Surveillance reports submitted completely (completeness),93.21739130434784,100
2025-Wk28-52,Benishangul Gumuz,CB_ELIM,Case-based reporting: elimination/eradication diseases,54.285714285714285,100
2025-Wk28-52,Benishangul Gumuz,CB_EVENTS,Case-based reporting: selected events/conditions,71.06598984771574,100
2025-Wk28-52,Benishangul Gumuz,NOTIFY_24H,Suspected outbreaks notified within 24 hours,100,100
2025-Wk28-52,Benishangul Gumuz,NOTIFY_30M,Immediately reportable events notified within 30 minutes,100,100
2025-Wk28-52,Benishangul Gumuz,LINEGRAPH,Current line graph available for priority diseases,0,100
2025-Wk28-52,Benishangul Gumuz,OBR_ANALYZED,Outbreak reports with analyzed case-based data,17.391304347826086,100
2025-Wk28-52,Benishangul Gumuz,LAB_7D,Outbreaks with laboratory results within 7 days,100,100
2025-Wk28-52,Benishangul Gumuz,RESP_2448,Confirmed outbreaks with response within 24-48 hours,100,100
2025-Wk28-52,Benishangul Gumuz,EPI_DETECT_REG,Epidemics detected at regional level from district data,0,100
2025-Wk28-52,Benishangul Gumuz,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,69.56521739130434,100
2025-Wk28-52,Benishangul Gumuz,RISK_MAP,Districts conducting risk & resource mapping,69.56521739130434,100
2025-Wk28-52,Benishangul Gumuz,EPR_FUNDS,Districts with EPR funds / budget line,0,100
2025-Wk28-52,Benishangul Gumuz,CONTINGENCY,Districts with contingency stocks (3-6 months),0,100
2025-Wk28-52,Benishangul Gumuz,PHEM_OFFICER,Health facilities with PHEM officer,0,100
2025-Wk28-52,Benishangul Gumuz,DHIS2_RPT,Districts reporting weekly via DHIS2,73.91304347826087,100
2025-Wk28-52,Benishangul Gumuz,COORD_PLATFORM,Districts with functional coordination platform / RRT,78.26086956521739,100
2025-Wk03-15,Central Ethiopia,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),100,100
2025-Wk03-15,Central Ethiopia,EBS_DETECT,Outbreaks detected through event-based surveillance,100,100
2025-Wk03-15,Central Ethiopia,DETECT_7D,Outbreaks detected within 7 days,100,100
2025-Wk03-15,Central Ethiopia,RPT_TIMELY,Surveillance reports submitted on time (timeliness),100,100
2025-Wk03-15,Central Ethiopia,RPT_COMPLETE,Surveillance reports submitted completely (completeness),100,100
2025-Wk03-15,Central Ethiopia,CB_ELIM,Case-based reporting: elimination/eradication diseases,98.50746268656717,100
2025-Wk03-15,Central Ethiopia,CB_EVENTS,Case-based reporting: selected events/conditions,100,100
2025-Wk03-15,Central Ethiopia,NOTIFY_24H,Suspected outbreaks notified within 24 hours,100,100
2025-Wk03-15,Central Ethiopia,NOTIFY_30M,Immediately reportable events notified within 30 minutes,100,100
2025-Wk03-15,Central Ethiopia,LINEGRAPH,Current line graph available for priority diseases,100,100
2025-Wk03-15,Central Ethiopia,OBR_ANALYZED,Outbreak reports with analyzed case-based data,18.29268292682927,100
2025-Wk03-15,Central Ethiopia,LAB_7D,Outbreaks with laboratory results within 7 days,84.5360824742268,100
2025-Wk03-15,Central Ethiopia,RESP_2448,Confirmed outbreaks with response within 24-48 hours,100,100
2025-Wk03-15,Central Ethiopia,EPI_DETECT_REG,Epidemics detected at regional level from district data,0,100
2025-Wk03-15,Central Ethiopia,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,100,100
2025-Wk03-15,Central Ethiopia,RISK_MAP,Districts conducting risk & resource mapping,0,100
2025-Wk03-15,Central Ethiopia,EPR_FUNDS,Districts with EPR funds / budget line,0,100
